rbp,weight,max_track_weight,n_tracks,tracks
LARP4,1.6347e-06,1.2665e-06,2,LARP4_HepG2;LARP4_K562
LSM11,1.4610999999999999e-06,9.178e-07,2,LSM11_HepG2;LSM11_K562
SLTM,1.3803e-06,7.577e-07,2,SLTM_HepG2;SLTM_K562
BCLAF1,1.3492e-06,1.3492e-06,1,BCLAF1_HepG2
NOL12,1.3431e-06,1.3431e-06,1,NOL12_HepG2
HLTF,1.3209e-06,1.0322e-06,2,HLTF_K562;HLTF_HepG2
UTP18,1.2236e-06,8.36e-07,2,UTP18_K562;UTP18_HepG2
TIA1,1.1842e-06,6.375e-07,2,TIA1_K562;TIA1_HepG2
MATR3,1.1697e-06,5.865e-07,2,MATR3_HepG2;MATR3_K562
SAFB,1.1541999999999999e-06,6.423e-07,2,SAFB_K562;SAFB_HepG2
ILF3,1.152e-06,6.03e-07,2,ILF3_HepG2;ILF3_K562
PCBP1,1.1211e-06,8.48e-07,2,PCBP1_HepG2;PCBP1_K562
PUM1,1.1191e-06,1.1191e-06,1,PUM1_K562
FASTKD2,1.0892e-06,6.743e-07,2,FASTKD2_HepG2;FASTKD2_K562
EIF4G2,1.0786e-06,1.0786e-06,1,EIF4G2_K562
STAU2,1.0654e-06,1.0654e-06,1,STAU2_HepG2
KHSRP,1.0422e-06,5.599e-07,2,KHSRP_K562;KHSRP_HepG2
CSTF2T,1.0338e-06,5.581e-07,2,CSTF2T_K562;CSTF2T_HepG2
EFTUD2,1.0272999999999999e-06,5.625e-07,2,EFTUD2_K562;EFTUD2_HepG2
XRCC6,1.0204e-06,6.392e-07,2,XRCC6_HepG2;XRCC6_K562
HNRNPUL1,9.679999999999999e-07,5.411e-07,2,HNRNPUL1_K562;HNRNPUL1_HepG2
TAF15,9.599e-07,5.012e-07,2,TAF15_HepG2;TAF15_K562
HNRNPK,9.578e-07,4.84e-07,2,HNRNPK_K562;HNRNPK_HepG2
RBFOX2,9.512e-07,5.071e-07,2,RBFOX2_HepG2;RBFOX2_K562
SERBP1,9.162e-07,9.162e-07,1,SERBP1_K562
RBM22,9.117e-07,4.72e-07,2,RBM22_K562;RBM22_HepG2
PRPF8,9.111e-07,4.933e-07,2,PRPF8_K562;PRPF8_HepG2
HNRNPU,9.063e-07,4.587e-07,2,HNRNPU_HepG2;HNRNPU_K562
QKI,8.937e-07,4.967e-07,2,QKI_HepG2;QKI_K562
GTF2F1,8.906e-07,5.172e-07,2,GTF2F1_K562;GTF2F1_HepG2
XRN2,8.887000000000001e-07,5.163e-07,2,XRN2_HepG2;XRN2_K562
HNRNPL,8.862e-07,5.057e-07,2,HNRNPL_K562;HNRNPL_HepG2
SF3B4,8.848e-07,4.64e-07,2,SF3B4_K562;SF3B4_HepG2
DGCR8,8.769e-07,5.098e-07,2,DGCR8_K562;DGCR8_HepG2
SUPV3L1,8.514e-07,4.8e-07,2,SUPV3L1_K562;SUPV3L1_HepG2
IGF2BP3,8.442e-07,8.442e-07,1,IGF2BP3_HepG2
WDR43,8.266000000000001e-07,5.291e-07,2,WDR43_HepG2;WDR43_K562
NOLC1,8.190000000000001e-07,5.052e-07,2,NOLC1_HepG2;NOLC1_K562
AQR,8.091e-07,4.726e-07,2,AQR_K562;AQR_HepG2
DHX30,7.946e-07,4.082e-07,2,DHX30_K562;DHX30_HepG2
HNRNPA1,7.907999999999999e-07,3.964e-07,2,HNRNPA1_HepG2;HNRNPA1_K562
FAM120A,7.89e-07,4.565e-07,2,FAM120A_HepG2;FAM120A_K562
DDX52,7.839e-07,4.465e-07,2,DDX52_K562;DDX52_HepG2
METAP2,7.775e-07,7.775e-07,1,METAP2_K562
TROVE2,7.448e-07,4.372e-07,2,TROVE2_HepG2;TROVE2_K562
SMNDC1,7.404999999999999e-07,4.392e-07,2,SMNDC1_K562;SMNDC1_HepG2
